Keyword,YAKE! score,Target community
faggot ass racist,0.012501120606789555,LGBTQ
faggot bitch,0.012523379212351485,LGBTQ
fucking gay faggot,0.012530950131227443,LGBTQ
fucking gay bitch,0.012873297993385768,LGBTQ
BLACK PEOPLE,0.012917499170905494,African
white ass gay,0.012969981980854061,LGBTQ;Caucasian
queer,0.013069886945780575,LGBTQ
Stupid fucking nigger,0.013099623601701447,African
ugly,0.013114307093814373,None
retarded,0.013173151532696102,None
dyke,0.013329402516583712,LGBTQ;Women
nigga Fat ass,0.013640928823054777,African
faggot nigger cunt,0.013679490151561854,African;LGBTQ
coon Faggot ass,0.013736994342273053,African;LGBTQ
fucking queer faggot,0.013761402553932775,LGBTQ
fucking queer,0.013779692696417788,LGBTQ
ass nigga y'all,0.013850373614703669,African
HATE hoe ass,0.014124305260804675,None
hate white people,0.014289635146087646,Caucasian
damn ass nigga,0.014422787906247361,African
gay ass,0.01444655801032797,LGBTQ
fuckin,0.014612943121244384,None
fucking ugly bitch,0.014732380643725056,None
bitch nigga talking,0.015142742632847261,African
hoe ass people,0.015197304113277181,None
faggot bruh Niggas,0.015494158243854257,African;LGBTQ
racist white trash,0.015884635778653598,LGBTQ;Caucasian
lookin ass bitch,0.01592903427106707,None
white ass,0.016026389201124154,Caucasian
ass white,0.016026389201124154,Caucasian
ass hoe,0.016210896888544556,None
Ugly fucking nigger,0.016234339205446195,African
ass white boy,0.016692844312322416,Caucasian
queer white trash,0.016707658438645138,LGBTQ;Caucasian
stupid ass,0.01674679650520879,None
bitch whore nigga,0.016905851954104777,Women
gay ass fags,0.0172444166552918,LGBTQ
cunt,0.017479992842668924,None
Fucking hate,0.017996138582155475,None
faggot ass back,0.018195330426246704,LGBTQ
stupid faggot,0.01824942116489134,LGBTQ
Nigga wanna bitch,0.018371891785408635,African
Stupid ass hoes,0.018597709275040567,None
monkey ass niggas,0.01866812501596488,African
stupid bitch,0.018738817628857055,None
Stupid white people,0.018836595956909737,Caucasian
punk nigga bitch,0.018885631122733768,African
fucking gay,0.018895422255761383,LGBTQ
bad white bitch,0.019336554195818586,Caucasian
coon,0.01941832729933165,African
punk bitch faggot,0.020263185672092086,LGBTQ
lame bitch Fuck,0.02037919283137077,None
fat,0.020490884883506123,None
ugly ass,0.020535318803829763,None
nigger ass back,0.020641379601190266,African
trash ass,0.020992201706874065,None
smh,0.02117884490465934,None
ass niggas outta,0.021366057788455486,African
faggot ass High,0.021568539695830148,LGBTQ
call white trash,0.021841427660515066,Caucasian
ass cracker,0.02187565450881878,Caucasian
nig,0.02191123817051767,African
fuck outta,0.022034440634025525,None
bro fucking faggot,0.022084067226022547,LGBTQ
Fuck ass redskin,0.022350797732438116,Hispanic
lame ass nigga,0.022393514116402568,African
retard,0.022667372651388594,None
ugly bitch,0.022925628855958103,None
stfu white trash,0.02332286235946451,Caucasian
hating ass nigga,0.023407647178772313,African
bitches Niggas,0.02344961736458919,African
hate niggers,0.02384636613752701,African
soft ass nigga,0.024073037863574905,African
trash white girls,0.02440490096154472,Women;Caucasian
faggots faggot,0.024411433684356745,LGBTQ
black bitch,0.024502817525000636,African
niggah,0.024533790358769104,African
ugly bitches fuck,0.02470125494727794,None
Fat ass hoe,0.024750500437471065,None
faggot fuck,0.024914509891837994,LGBTQ
white trash watch,0.024920624497448612,Caucasian
bitch faggot,0.02504675842470297,LGBTQ
faggot lol,0.025101094457760424,LGBTQ
ass punk bitch,0.02512996633771379,None
fucking Royals bitch,0.02515179878467549,None
cracker,0.02534961565495647,Caucasian
redneck white trash,0.025909777355058828,Caucasian
spic,0.02595981055800908,Hispanic
pussy nigga,0.02630813706813449,African
white faggot,0.02635421240575929,LGBTQ;Caucasian
pussy nigga shut,0.026821035359599208,African
HATE BLACK PEOPLE,0.02695289375380309,African
white boy,0.02699331804617659,Caucasian
ugly gay nigga,0.027091204512081513,African;LGBTQ
retards,0.027200847181666314,None
Tom ass,0.027295119670075065,African
faggot nigger,0.027451924336190894,African;LGBTQ
black ghetto trash,0.02748092630205287,African
ass people,0.027682480789325503,None
nigger music,0.027704308610771212,African
called white trash,0.02775521153383734,Caucasian
nigger bitch,0.028168555872300667,African
gtfo white faggot,0.0284165912149165,LGBTQ;Caucasian
ass niggas talkin,0.028558592853482733,African
real white people,0.028628319132878794,Caucasian
nigga talking shit,0.02873688409253534,African
ass broke faggots,0.0287415406427142,LGBTQ
bitch fucking CHRIST,0.0289962796286942,None
stupid white,0.029622510991855294,Caucasian
nigga bitch turd,0.029782089287799005,African
fucking retarded,0.029814044920812577,None
dick,0.029847458993097466,None
jew,0.029940495665963802,Jewish
hate fags,0.030103578683399388,LGBTQ
fucking broke faggots,0.030197512302204337,LGBTQ
nigga haha fucking,0.030209601251507304,African
Fuck ass,0.03029258117223711,None
y'all hoes,0.030370087134161686,Women
ass bitches,0.030627390201103503,None
hood white trash,0.030943865985115917,African;Caucasian
full of white,0.031032456436083974,Caucasian
Fucking ugly bitches,0.031224793033013763,None
lil nigger,0.03150357976645271,African
white trash Trailer,0.03177936364354258,Caucasian
shoulda ass niggas,0.03184840044543235,African
mouth ass bitch,0.03196059375433548,None
bullshit faggot ass,0.03215335080218859,LGBTQ
trash nigga,0.03228240173142906,African
niggas trash,0.03228240173142906,African
niggas fags,0.03230041107760321,African;LGBTQ
fucking retarded lol,0.03268163406661655,None
niggers love,0.03303741606618763,African
white thirsty bitch,0.03305979146903129,Caucasian
bullshit ass bitch,0.03309320036402045,None
ass nigger,0.03339557152943407,African
dumb black bitch,0.033567389044248004,African
fucking nigger baby,0.03363089772257507,African
Dyke bitches,0.03392875742538686,LGBTQ;Women
ass nigga catch,0.03410297650107474,African
white trash Told,0.034150450759111675,Caucasian
white trash party,0.0341967686349776,Caucasian
hire white trash,0.03421687224531306,Caucasian
wack ass nigga,0.03425818756643947,African
trash faggot,0.034461165259708146,LGBTQ
God damn faggot,0.03455805970864538,LGBTQ
white people making,0.03472365559498409,Caucasian
queer white,0.03488569737206375,LGBTQ;Caucasian
uncle tom,0.034927473418484865,African
lame nigga,0.03494842410664878,African
white trash cops,0.03500808178036167,Caucasian
ass hoes Faux,0.035109056045269274,None
fag Fuck,0.035198140698934635,LGBTQ
lizard faggot nigger,0.03540463489549003,African;LGBTQ
y'all niggers love,0.03554394790449971,African
disrespectful ass bitch,0.03582224168129162,None
ugly bitches,0.03593562505092765,None
wagging ass nigga,0.036194080099799214,African
dumb,0.036280201840071975,None
ass nigga buckcity,0.03637749633178189,African
wishywashy ass nigga,0.036391279871574096,African
